id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
36015,Richard,Forbes,RForbes1973@gmail.com,wedges,faux-leather,black,289
73858,Lisa,Durham,Lisa.Durham@gmail.com,boots,faux-leather,white,339
62605,Jennifer,Chang,JC2229@gmail.com,boots,fabric,navy,205
54049,Kelly,Montoya,KellyMontoya63@gmail.com,wedges,leather,brown,141
13769,Arthur,Casey,AC1888@gmail.com,boots,fabric,navy,230
10204,Victoria,Higgins,VictoriaHiggins66@hotmail.com,ballet flats,leather,red,187
52786,Ronald,Morton,RM3539@gmail.com,sandles,fabric,navy,286
90249,Joan,Rivas,JoanRivas66@gmail.com,clogs,fabric,red,437
26448,Stephen,Stevens,StephenStevens66@gmail.com,boots,leather,brown,176
74824,Abigail,Johns,Abigail.Johns@gmail.com,wedges,fabric,black,283
62812,Jessica,Ortega,Jessica.Ortega@gmail.com,sandles,faux-leather,white,236
40484,Walter,Cunningham,Walter.Cunningham@gmail.com,boots,fabric,navy,372
66605,Justin,Knight,JKnight1985@gmail.com,clogs,faux-leather,brown,138
17784,Louis,Miranda,LouisMiranda65@gmail.com,clogs,leather,black,451
84878,Carolyn,O'neil,Carolyn.O'neil@gmail.com,boots,leather,white,227
97228,Margaret,Pickett,MP1336@gmail.com,stilettos,faux-leather,brown,351
13553,Aaron,Hanson,AH3867@gmail.com,clogs,faux-leather,navy,493
91572,Ethan,Hobbs,EH6701@gmail.com,boots,leather,white,193
22823,Linda,Russo,LR1703@gmail.com,wedges,faux-leather,navy,406
54425,John,Ramos,JRamos1982@gmail.com,clogs,leather,brown,313
83346,Rachel,Lowery,Rachel.Lowery@gmail.com,ballet flats,faux-leather,brown,212
86546,Lisa,Spence,LSpence1998@gmail.com,wedges,faux-leather,black,115
55282,Noah,Knox,Noah.Knox@gmail.com,ballet flats,faux-leather,white,308
33364,Andrea,Chang,Andrea.Chang@yahoo.com,ballet flats,faux-leather,white,106
61294,Bobby,Watkins,BWatkins1975@outlook.com,sandles,faux-leather,brown,241
83961,Stephen,Hogan,SHogan1990@gmail.com,sandles,faux-leather,brown,113
56339,Lisa,Mcfadden,LisaMcfadden49@gmail.com,clogs,fabric,black,221
68675,Ruth,Owen,RO7614@gmail.com,clogs,leather,white,324
68967,Sharon,Franco,SFranco1983@gmail.com,ballet flats,fabric,brown,124
42304,Danielle,Hawkins,DH1551@gmail.com,sandles,fabric,navy,122
57075,Jesse,Foster,JesseFoster77@gmail.com,clogs,fabric,brown,234
97943,David,Fuentes,DFuentes1984@hotmail.com,clogs,fabric,black,242
93774,Rebecca,Park,RebeccaPark83@gmail.com,ballet flats,fabric,black,226
70164,Ann,Greene,Ann.Greene@gmail.com,stilettos,fabric,red,474
24999,Paul,Freeman,PaulFreeman9@gmail.com,sandles,fabric,red,409
19127,Philip,Dillard,Philip.Dillard@gmail.com,wedges,faux-leather,red,411
67253,Amber,Daugherty,AmberDaugherty60@gmail.com,clogs,faux-leather,red,95
55075,Ashley,Rogers,Ashley.Rogers@hotmail.com,wedges,faux-leather,brown,269
39447,Denise,Mendoza,DM2227@outlook.com,clogs,faux-leather,brown,93
26805,Sean,Richardson,SR5213@gmail.com,sandles,fabric,navy,339
35529,Carol,Reilly,CarolReilly18@gmail.com,wedges,fabric,brown,429
49703,Paul,Henderson,Paul.Henderson@gmail.com,stilettos,fabric,red,430
47183,Cynthia,Duffy,CDuffy1983@gmail.com,clogs,leather,black,451
83778,Joe,Perry,JoePerry3@gmail.com,ballet flats,leather,white,196
79139,Susan,Cash,SusanCash16@gmail.com,sandles,faux-leather,red,185
81591,Theresa,Henderson,THenderson1993@gmail.com,stilettos,leather,white,342
21506,Scott,Deleon,Scott.Deleon@gmail.com,stilettos,fabric,black,374
77266,Zachary,Gregory,Zachary.Gregory@gmail.com,sandles,leather,red,216
67264,Danielle,Merrill,DMerrill1998@gmail.com,wedges,faux-leather,red,461
19100,Danielle,Barron,DBarron1982@gmail.com,sandles,leather,white,313
26210,Marilyn,Finch,MarilynFinch92@gmail.com,sandles,leather,black
